"Genotypes","CIC_Morgenrot","CIC_Hadmersleben","CIC_Sollingen"
"BMW2481",-25.89439276,-27.3428598449157,-28.6099799627545
"BMW2483",-26.55610335,-28.0548566874269,-29.030444033757
"BMW2485",-26.27271432,-28.1828451019984,-28.6879818641164
"BMW2489",-26.08404606,-27.8249479132734,-28.9927554113485
"BMW2490",-26.13573966,-28.0362221515071,-28.9551702504849
"BMW2492",-26.14125236,-27.7303869598923,-28.8261674926922
"BMW2493",-25.6814936,-27.5612708236429,-28.7293512705764
"BMW2494",-25.93900216,-27.8843245164393,-28.6626127397722
"BMW2496",-25.34614652,-27.2976982308035,-28.4087684914702
"BMW2497",-25.83858627,-27.1751820799447,-28.7017766063953
"BMW2498",-25.7077919,-26.8869642238352,-28.117052551887
"BMW2503",-25.90910883,-27.4285201212172,-28.5278456752108
"BMW2504",-25.83120923,-27.668574131601,-28.6642179209047
"BMW2505",-25.97943322,-27.6229742072142,-28.467645584534
"BMW2506",-25.76888577,-27.1507415619137,-28.3672393341719
"BMW2507",-25.66891362,-27.5161284178435,-28.2592245489432
"BMW2508",-25.75700013,-27.4292229131707,-28.6644925977147
"BMW2509",-26.38108878,-28.1657474639409,-28.7301014687953
"BMW2510",-25.65984818,-26.6274801077639,-27.962169282073
"BMW2511",-25.79939756,-27.1681528467197,-28.0787532620077
"BMW2512",-25.75373583,-26.843802446171,-28.4501476660562
"BMW2513",-26.17133403,-27.8114419141968,-29.3072204525177
"BMW2514",-25.78834652,-27.2140619753157,-28.6297523684359
"BMW2515",-25.79676932,-27.3894454450012,-28.3004165705852
"BMW2516",-25.79368423,-27.2266383930135,-28.3658090484639
