"unit","genotype","treatment","Groups","digital_Biomass","Height","M.Height","leaf_angle","LA (Leaf Area)","LAI (Leaf Area Index)","LAP (Leaf Area Projection)","LIc (Leaf Inclination)","LPD (Light Penetration Depth)","Biomass","Shoots","Nr_ears","Weight_ear","TKW","d13C","CID","iWUE"
"183","BMW_2352","control","Low",21455561.1282051,502.989076923077,583.753564102564,32.8864358974359,36543.0007692308,0.197076923076923,16059.4315384615,1.87269230769231,344.683615384615,11.33,9,9,8.71,24.6,-32.65,24.8035449635968,25.2091962143655
"185","BMW_2352","drought","Low",9600777.87179487,418.733153846154,486.468974358974,35.3627948717949,21279.8274358974,0.114769230769231,10792.5028205128,1.73908102564103,301.500923076923,3.49,3,3,3.3,23.25,-30.21,22.2251304102283,54.8022255823966
"186","BMW_2095","drought","Low",6751996.13157895,355.944342105263,447.806289473684,32.6114473684211,17266.5618421053,0.0931315789473684,8191.22736842105,1.86598026315789,231.189,3.04,3,3,3.78,31.54,-29.8,21.7931449397396,59.7602175771422
"188","BMW_2352","drought","Low",10067811.8421053,447.265526315789,535.116684210526,34.0210789473684,20964.1936842105,0.113026315789474,10043.2334210526,1.80230868421053,324.710736842105,3.87,3,3,3.74,21,-29.9,21.8984735805951,58.5513376636849
"190","BMW_2095","control","Low",12567834.4736842,400.039815789474,530.038421052632,33.3898947368421,27265.7757894737,0.146921052631579,12695.7984210526,1.82609052631579,267.811947368421,8.04,7,6,8.31,22.7,-33.345,25.5403522668743,16.7526971863153
"191","BMW_2297","drought","Low",9817253.53846154,392.241076923077,475.743333333333,33.2221538461538,22760.1641025641,0.122717948717949,10642.1123076923,1.83555564102564,248.427512820513,5.05,6,5,4.11,30.49,-29.4,21.3720474145223,64.5932462358894
"193","BMW_2007","drought","High",10502288.2894737,447.154657894737,531.763236842105,34.5136052631579,21790.0134210526,0.117473684210526,10681.7721052632,1.78720184210526,328.763368421053,5.1,5,5,3.55,41.64,-28.805,20.7463065816189,71.7750110225859
"195","BMW_2218","control","High",24606691.4210526,577.619657894737,695.487394736842,33.7658684210526,34543.6465789474,0.186184210526316,15764.6739473684,1.80731657894737,404.974,14.07,9,8,9.52,36.1,-31.86,23.9673076420098,34.8068753711321
"196","BMW_2321","drought","Low",8992119.7,395.8277,481.253975,33.018925,20520.2525,0.1106,10109.72275,1.85009,284.386525,4.7,4,4,4.72,23.5,-29.72,21.7088976589596,60.7271420971118
"198","BMW_2496","control","High",19209052.4,521.328475,610.456175,33.038,32680.6665,0.1762,14789.88925,1.87256175,359.553475,12.5,7,7,6.02,25,-30.925,22.9793454794885,46.1459338060141
"201","BMW_2297","control","Low",20755287.35,474.96215,580.123875,32.1899,36068.594,0.194525,15336.09675,1.88609025,306.64125,11.77,13,13,12.56,22.4,-33.595,25.8056500334077,13.7078165304721
"203","BMW_2352","control","Low",17150842.675,515.4005,620.40195,32.15545,29390.18825,0.1584,13097.306,1.8866515,362.1916,10.63,8,4,3.84,24.03,-31.4925,23.5787634277849,39.2662825395082
"206","BMW_2218","drought","High",15115828.9487179,524.884307692308,614.911153846154,34.3303333333333,26780.8615384615,0.144435897435897,12784.2628205128,1.78386025641026,405.826615384615,5.53,4,4,5.7,27.1,-28.505,20.4310976593141,75.3927329605284
"208","BMW_2364","control","High",24768644.5641026,507.976461538462,613.878358974359,33.1057692307692,39426.1853846154,0.212564102564103,17350.638974359,1.84367256410256,373.163871794872,18.2,11,11,14.12,35,-33.17,25.3547254641823,18.8831767154436
